nixon.glenn,"Halo, saya update PL ke Satusehat. Login, isi no hp, lalu nunggu kode verifikasi via sms. Kok gak pernah sampai smsnya??Sejak semalam saya coba terus, sampai saat ini blum ada satupun sms yg saya terima.Terus gimana caranya login???"
ikmal_sikumbang,"Saya makin bingung,. Data saya hilang , dulu saya pernah mendaftarkan tetangga mengunakan nomor hp saya karna tetangga tidak punya hp, skrang malah data saya yg tidak muncul melainkan data tetangga itu.😢setelah login ulang kembali."
fisnaj,Login 6X pakai nomer tlp eh gak dapat juga kode OTPnya. Sampai capek refresh mulu
raniya_niernu,"Berhasil masuk satu sehat, tiket booster kedua malah gk ada💃💃💃"
rizal_saputra84,"Aplikasi belum lunas kadang, makajih masih error saat login"
be.lla3212,"@pedulilindungi.id Coba kalo mau beralih ke satu sehat usahakan saat ada kendala login bisa memberikan  solusi.... nomor hp yang  terdaftar pada saat vaksinasi atau di app peduli lindungi saya sudah hangus, belum sempat ganti ke nomor baru tiba² beralih ke satu sehat. Auto gagal login... sudah hubungi kesana kemari ke nomor wa kesana kemari ke nomor yang konon katanha bisa dihungi jika ada kendala, tetap tidak bisa memberi solusi 😢😢"
alfadliefirdaus,Sertifikat pada ilang nih woyy
saifulrochmans,"bisa update ke satusehat tapi gak bisa dibuka sama sekali, hanya tampilan layar satu sehat gitu aja 😢"
ddnramdhani24,Akun saya keluar nama anak saya min gmn ini malah sertifikat saya tidak keluar @kemenkes_ri
san.dyakala,"APLIKASI GAJELASSSSSSS, PENANGANAN LAMBAR GA JELAS"
dc.yudhi,Ribet..mempersulit saja
prismasandi,Saya ga bisa login sudah mau 2 hari gimana ini @pedulilindungi.id
fransiaca_gabriela,Saya sudah ganti nomer gimana bisa log in lagi. Dengan nomer baru. Mau Buat baru KTP sudah terdaftar gimana dong. @kemenkes_ri
han.store_official,Min tolong bales DM saya
agustine_lea,Daftar lagi katanya udh terdaftar. tapi coba masuk pake no telpon ga bisa pake email sama aja ga bisa.. gimana nii..??
soesilob,Aplikasi diupdate malah gabisa masukMaunya gimana sih?Udah bagus pedulilindungi lancar2 ajaIni app dibuka malah lgsg ke setting hpiPhone XR iOS 16.0.2
alilaatmaja,Udah update ke satusehat tapi aplikasinya malah ga bisa dibuka. Nge freeze aja di halaman awal. Ini gimana ya?
dianasyaraswati,Udah download...kok history cek Covid ndak ada...history Kartu vaksin juga kosong melompong...lah gimana coba
precilicha,"Min mohon cek dm ya, terima kasih 🙏🏼"
tamtomosetyo,"1. Tiket vaksin berikutnya hilang yg sebelumnya di peduli lindungi sdh muncul,  2. Utk download sertifikat vaksin international malah gak ada/gak bisa"
johana_merry_m,ini GIMANA UDH FULL BOOSTER MUNCUL CUMA 1 booster? wa susah dihubungin min
snowycandle99,"Sertifikat booster kedua hilang. Nomer whatsapp 081110500567 tidak memberi jawaban, hanya nyuruh nunggu dan berakhir hubungi call center 🤦‍♂️"
niumaardayouw,buruan benerin tu aplikasinya atau setidaknya webnya aktifin buat download sertifikat vaksin.percuma kena suntik 3 kali kalo sertifikat nya ga bisa di download!
jufriusman,"Wahai @kemenkes_ri dan @pedulilindungi.id klw belum siap untuk transformasi jangn dulu dipaksain, ini semua data tdk bisa diakses, sertifikat vaksin pun ikut hilang, login pung susah, persiapkan semuanya dulu dengn baik dan bagus baru transformasi, pantas ajah kesehatan Indonesia ga maju😢"
naufalnazhif13,"Udah bagus bagus kemaren ga banyak kendala, sekarang yg mau vaksin ga bisa karena pcarenya gangguan ga bisa entri, kacau.."
adexikawati,"maap br hari ini saya update dari peduli lindungi ke satusehat,tapi kenapa sertifikat atas nama saya dan anak saya hilang ya ?? ,mohon bantuan nya @pedulilindungi.id"
dewipertiwi2009,maaf saya juga mau tanya y. di hp suami juga gk bisa dibuka aplikasi SATU SEHAT nya. padahal kepake buat kerja.. tolong penjelasannya karena tidak bisa dibuka hanya stay di tulisan logo SATU SEHAT
syifaannur186,Min kok stag di logo ya pas buka aplikasi?
_surrryaa,@desyazn_
beningbella,"Jawabane njenengan pundi pak niki rakyate njenengan podo ngelu ngrasakne apk ruwet satu sehat mari di update ora tambah Oke tambah mumetne wong cilik, ditunggu jawabane njenengan, suwun🙏"
ms._marc,"Sy sudah update satusehatmobile malah ga bisa dibuka aplikasinya. Mohon pencerahan , min 🙏"
rifandhi_r,"Setelah di update malah ga bisa login, katanya musti register, udah register malah dpt notif user already exist 🤣🤣"
busat_satria,"Dengan aplikasi satu satu sehat saya tidak bisa login dengan email saya, jadi mempersulit kerja saya  mohon di bantu bos bosku?"
nancy19dav,"Min, saya sudah coba berkali² kenapa tidak bisa ? Setelah masukkan kode verifikasi selalu keluar menyimpan dok ke data base."
syah.adiryan,"Gak bisa masuk2,.sdh updeth apk peduli lindungi,ke satu sehat.."
dwibeth,"Belum bisa riwayat vaksin padahal sudah download isinya ngak ada, bagaimana ini, kenapa peduli lindungi di hilangkan"
dwibeth,Belum bisa lihat riwayat vacsinnya
dwibeth,"Balik aja ke peduli lindungi mending, ini ngak bisa lihat apa2"
alanputra711,REVAMP malah jadi ampas
sumaysembiring16,Ini kenapa sih aplikasinya
sumaysembiring16,Tolong dong kalo gada ini gabisa naik kendaraan disuruh donwload tapi aplikasi gabisa digunakan
lmnshryn_,"mama saya tidak bs login ke akun satu sehatnya, pas masukin nomor telp trs login, yang keluar malah nama nenek saya, saya cb ganti akun login pake email tp gbs jg, pdhl wktu d peduli lindungi yg terdaftar nama mama saya"
ifahmanyundt,Kenapa punyanyaku habis d login nin temen pake hp dia mlh d buka d hp ku sendiri gx bsa y knp min bantu dong..
leonardasambas,"Sy udah migrasi, tapi data vaksin sy hilang. Yang muncul hanya data anak sy. Bs dibantu?"
dindwf_,Balikin aja lah ke semula kalo gini kan repot semua orang kadang ga mikir juga ke penggunanya asal update aja
woro2x,"IOS gak bisa di buka, stuck gak bisa diapa-apain...🤔"
syininn,Info booster jakarta barat dong
sandinayoone,Kok gak bisa dibuka aplikasinya
lalapesek46,Knpa saya gak bisa masuk dan login di apk Satusehat ini ya kak?  Kasih tau dong cara nya gimana 😢
setyorinifirdaus,"Saya dan suami barusan update, kenapa malah tidak bisa dibuka min aplikasinya😢...tolonglaahh"
videjayanti,Udh terlanjur update dibuka stak dilogo doang...menu gk keluar..😢😢😢😢
hanaruul,"Biar apa sih update jadi satu sehat ? Kesel banget. Biar keren ? Nama peduli lindungi juga udah bagus, tolonglah jangan mempersulit, apalagi sekarang daftar kerja harus ada tanda bukti vaksin, sedangkan sertifikatnya ada di aplikasi itu semua, dan sekarang ga bisa di akses"
mutiaramlah,Parah nih aplikasi baru. Malah error sama sekali 😢😢😢
wilda170,Mohon bantuannya nomor yg buat masuk dipeduli lindungi sudah tidak aktif lagi. Bagaimana cara masuk di satu sehat. Mohon sekali bantuan nya karena sangat dibutuhkan. Terima kasih @pedulilindungi.id
mie_ayam_handayani,Udh boster tpi sertifikat g muncul..solusinya gmn?????
awan_kustiawan11,"Kenapa TIDAK BISA LOGIN..! Peduli Lindungi GANTI NAMA JADI SATU SEHAT. Malah saya jadi SAKIT KARNA STRES😭, sudah 3 Hari gak bisa BUKA APLIKASI/LOGIN. Pada kerja gak sih nih buat layani rakyat?"
astingtyas,"Hi min, pls check DM. Thanks."
cokye_sebian,Tapi kenapa sampai hari ini  nginputan data vaksinasi belum bisa? @pedulilindungi.id @kemenkes_ri
ichalbomber,Masih banyak BUGnya 😢😢😢
akoelibra,Update Aplikasi endingnya kok GAK BISA di buka Aplikasinya?????????? Yang Bener Doonngggggggggg
dhika.nature,"Tolong layanan whatsappnya difungsikan dgn baik, ticket vaksin dosis 3 saya tdk muncul, padahal dosis 2 sudah setahun lebih. Kerja yg cepat dan benar, bukannya malah membatasi kolom komentar di konten terupdate"
dhika.nature,Whatsapp bolak balik jawabnya customer kami blm bisa melayani anda. Tolong yg becus kerjanya biar berkah gajinya dr uang rakyat.
hindun.queen,"Selamat pagi, mohon info lnya. Sudah download tapi tidak bisa terbuka"
djatmikoeddy,Kok gak bisa log in pake email ya?
hartonodj,"Sudah update tp tdk bisa login, tunggu sms OTP tdk dikirim. Hp tdk ada wa, maunya gimana sih?"
wtpebel,Malah stuck nih
nayy_berby,"Ngebug trus ini duh, mau buka apk aja ga bisa malah close sendiri, udah nyoba berapa hari masih ga ada perubahan"
titikhandriyaninya,Sertifikat vaksin saya gak ada
lanwalun,"Orang orang baru nyaman sama peduli lindungi .. Bahkan banyak juga yang masih belum ngerti pemakaiannya .. Udh di ganti lagi .. Yg tadinya udh ngerti jadi ga ngerti, yg tadinya bisa lancar jaya malah jadi ada masalah . jadi ini mau di gimanain prosedur vaksinasi sangat membingungkan selama ini mohon pengertiannya atau mungkin bisa sosialisasi lebih dalam lagi"
lanwalun,Akun gua jadi nik org ini gimana ya ga bisa di edit pulaaa aduh ya ampunnn . bukannya makin mudah malah makin sulit
pc_clavier,"Stuck d logo satu sehat aja ni dah 2 hr,dah apus data sm memori jg....trus gmn bro"
yandevitri,Apakah aplikasi SATUSEHAT lagi ada trouble? Karna dibuka aplikasi nya. Tidak bisa
qhoiriy92,@twetty2112 nah mba bnyk yg ngeluh mslh sertifikat vaksin gk kluar sm ada yg hilang
wdyaaa.ep,Garagara update data pasien yg vaksin gabisa di input sampe seminggu ini. KACAUUUU
wdyaaa.ep,kasian petugas puskesmas nih di serbu pasien seritifkat pada ga keluar. CEPET BENERIN LAH
haekalerlangga_,"APK GAK GUNA !!! LOGIN SUSAH BGT TIKET VAKSIN ADA YANG HILANG, KEBANYAKAN EROR APK NYA, TOLONG PIKIR PIKIR DULU KALO MAU UPDATE JGN ASAL MAEM UPDATE KALO EROR NYA LAMA, LAYANAN NYA NILAI 0 LOW RESPON , DAN TIDAK ADA TANGGAPAN!!"
ini_dimmm,Abis di update tapi ga bisa login ada yg sama?
riany_irma,Udah update tp gak bisa login Via telp n pake email…
bella_baru,Kalau buat aplikasi yg benar. Ini masalah keamanan nasional. Harusnya ada yang harus bertanggung jawab  dan bisa dipidana karena membahayakan  keamanan nasional
timytriutami,"Izin tanya bagaimana jika di akun sqtu sehat mobile suami saya, data niknya salah. Malah tercantumnya nik anak pertama kami. Sedangkan kami coba edit tidak bisa. Kemana harus menghubungi utk diperbaiki datanya? Akibatnya data anak kami juga jadi tidak bisa masuk, krn dianggap nik bapaknya. Aneh"
xtinegozali,"Sertifikat gak keliatan, didownload juga gak ada"
ahmadbaihaqihifni,"Ini parah bgt @kemenkes_ri  klo emang belum siap jangan di paksakan ginii, sertifikat vaksin bagi saya pertaruhan pekerjaan, tolonglah gimana ini login ke satu sehat kok gak bisa². Parahh gaada gunanya sama sekali"
emmilycious,Untuk mengumpulkan dokumen kesehatan di 1 tempat mohon kemenkes sosialisasikan ke setiap RS .. soalnya pas minta alamat email aja .. buat diisikan di satu sehat supaya kemenkes bisa kirim email utk minta dokumen kesehatan demi muncul di satu sehat kok ga dikasih? .. gimana bisa riwayat sakit dan pengobatannya bisa muncul di satu sehat?
maira.arkaan,"Udah vaksin boster 1 tapi kok di app cuma sampe vaksin 2, trs kemaren udh keluar tiket vaksin booster 2 tapi ilang .. trs tempat vaksinnya juga salah .. mana sertifikatnya ga di download lagi, payahhhh 👎👎👎"
thvgirlfrienddddd,EROR WOILA BENERIN NAPA GUE BUTUH SERTIFIKAT VAKSINNNNNN
dehansupandi,Sudah booster kedua.. Sertifikat blm ada
arkive_disti,Susah log in no hp udah dicoba semua bbrpa kali ttp aja susah 😂 tolong dong gmna ini
indra.kuskus,Ko sertifikat vaksinnya belum muncul juga ya. Padahal saya butuh untuk keperluan kerja
puryesusilawati,Udah nyoba login gak bisa masuk sampe aq uninstal download ulang ttp gk bisa sampe d reset jg ttp gk bisa tiap buka pstimntok d logo
dimasalit27,"log in lewat no hp yg tidak ada wa nya malah di kirim ke wa,log in via email tapi katanya gak ada akun padahal ada riwayat email nya ketika di peduli lindungi... apk gak guna"
er.syafrudin,Yang terhormat Pak @jokowi tolong pantau ini aplikasi kok banyak errornya. Banyak keluhan masyarakat seperti gagal unduh sertifikat vaksin. Terimakasih
akangindonesia,"Halo min, empat bulan lalu Saya sudah melakukan vaksinasi booster ke dua, namun hingga sekarang sertifikatnya belum terbit, mohon tanggapannya 🙏"
huza_ema_,@pedulilindungi.id  min tolong dong kenapa sertifikat vaksin booster belum keluar yah padahal sudah vaksin....harus bagaimana kah sebagai masyarakat yg ingin melakukan perjalanan tp terhambat dengan sistem??
therealberlian,Admin tolong bales DM
kyy.lsmn,"Malah bikin mempersulit masyarakat yg ingin bepergian entah itu naik pesawat atau naik KAI KERETA API,SEDANG KAN PERARTUSAN NAIK KEDUA TRANPORTASI TDI, ADALAH VAKSIN 3 TRUS GI MNA INI"
kyy.lsmn,"Sya harus nya kemaren kerja hanya gara2 aplikasi ini semua terhalang dan saya gagal kerja, tolng dong dinas terkait kebijak sanaan nya@KEMENKES."
dyahayuyunita,Ini gmn app nya min?? Ko cm muncul layar pembuka??? Ga jalan2??? Gmn kmi mau akses sertifikat..klo dbuka aja ga bisa?? Pke wi fi ato data sama.aja..nge lag.. @kemenkes_ri @jokowi udh bgus2 peduli lindungi.. dgnti malah makin mundurrrrr... balikin aja peduli lindungi.. belom syarat2 buat umroh..bkin visa.. hrs akses sertifikat.. gmn si???? Teknologi itu utk mempermudah hidup..bukan memperumit hidup... knp negara kita ini.. klo bisa ribet..hrs dbkin mudah ya???
sayaeir_,"Tolong dong min, bantu saya. Nomor telpon yang  terdaftar itu sudah hilang jadi mau login di satu sehat gabisa. Pake email juga tulisannya data already use. Tolong dong saya perlu sertifikat vaksin nya. Jangan diam aja:) saya email sana sini ga di respon. Mohon solusinya min😢 saya update malah gini;)"
tryyummy,"selamat malam min. ibu saya terkendala dalam membuka apllikasi satusehat dan terus loading, padahal hp sudah di upgrade di android 10.. apakah ada cara lain untuk menguduh  sertifikat vaksin selain dari aplikasi? karena ibu perlu sertifikat dalam waktu dekat.. mohon bantuanya min"
siti_84_shiethie,"Payah neh aplikasi satusehat mobile ... Udh bisa login eh giliran mau tambah anggota utk sertifikat vaksinnya, udh masukin nama dan nik yg benar di bilang nik dan nama tdk sesuai dgn data di dukcapil ... OMG heloooooooo klo aplikasi blm siap yaaa jgn di suruh ganti dlu lah @kemenkes_ri perbaiki dulu gidah aplikasinya ... Ngeribetin amat sih"
rossiepossie__,"APLIKASI SATUSEHAT SAYA SELALU STUCK DI LOGO AWAL, SUDAH COBA INSTALL-UNINSTALL TAPI TETAP SELALU GAGAL, SAYA SUDAH COBA SELAMA 4 HARI TAPI TETAP EROR. MOHON SOLUSINYA, KARENA SABTU INI SAYA AKAN ADA PENERBANGAN!!!!!SAYA HARUS BAGAIMANA?????"
rianmidiansyah,"Sertifikat Booster Kedua milik sayasudah berhari-hari tak kunjung keluar, sarasa di persulit atau di tunda-tundabegitu buruk sistem yang berjalan. @puskesmas.manisjaya@ikatandokterindonesia@idi_cabangtangerang@ariefwismansyah @zaki.iskandar story@zakiiskandr @dinkes.kotatangerang@jokowi @kemenkes_ri"
hrs_daruma,Sudah 8 maret tapi hasil booster 2 nggak ada di kakak saya pun @ennyindrayanti  dan beberapa team lain. Waktu itu melakukan nya di @kotakasablanka dengan daftar @halodoc . Di kasi kartu dengan tulisan tangan untuk bukti vaksin aja nggak??????. Mau WA atau helpdesk ke @pedulilindungi.id percuma!!!. Vaksin anak saya dari tahun lalu pun nggak ada tuh aplikasinya jadi. Malah main pingpong oper sana sini. #truestory #covid19
its_me_liqma,"Saya kira tadi satusehat apa  ternyata pas tekan tombol Update peduli lindungi hilang dan ganti, pas saya masuk ehh kok sertifikat vaksin nya hilang, saya dag dig dug lhooo 😖, takut gk bisa dibalikin 2 punya ibu saya 2 lagi punya sayaa 😓😭😭 mohon pembetulannya, saya dredeggg 😭😭😭😭😭"
_bambang_r,Makasih sudah merepotkan rakyatmu👏👏
rudisutikno666,"emang iaa kacau banget sekarang pemerintahan anggarannya ajah besar tapi pelayanan kepada masyrakat nya kurang , mau vaksin ajah susah nya minta ampun, gak memberikan solusi, kacau"
_ricardoo97,Aplikasi gak bisa dipakai untuk tiket vaksin kedua atau boster
rahmal.ave6,Gak bisa login
ftmh96_,"Mau mudik syaratnya harus vaksin booster, mau vaksin booster syaratnya harus perbaharui aplikasi peduli lindungi menjadi satu sehat, sedangkan mau download aplikasinya gabisa karena hpnya tidak mendukung, harus gimana 😢 laa haula wa laa quwwatta illaa billah"
fairydotco,"Klo belum siap sistemnya jgan dilaunching lah, bikin susah rakyat indo, jelas2 mau kmn2 hrs pake ni aplikasi. Bkin ribet hidup aj"
fitrinr17,"Yaampun mau masuk mall kenapa selalu keluar sendiri, tolong dong min 😢"
tryyummy,"min, ini gagal login terus gimana ya solusinya.. butuh banget sertifikat booster😢"
dicta_sutandio,Ini ngga bisa masuk 🫠 please cek dm min 🙏🏻
bli_wowo,Pa no hp nya ilang jadi gimana cara masuk nya dan gmail nya jg lupa gimana cara masuk nya
ceuceu_entin,@kemenkes_ri me apa banyak yang bermasalah dengan aplikasinya? Saya juga. Sertifikat vaksin saya tidak ada. Padahal sudah booster.
nilamcahyashinta,Saya abis update kok aplikasinya gak bisa kebuka? Terimakasih
nuki_indri81,Sudah email ke.helpdesk cuma dikasih tiket tnpa solusi. Ini bgmn aplikasinya pak buk? Sy ga bs masuk krn no yg sy daftarkan bukan no whatsapp. Tlg dibntu solusinya thankyou
restipurnama13,"Tolong ini saya gak bisa login login, saya butuh sertifikat vaksin ke 3 saya untuk daftar pekerjaan"
pupu_astia,"Terlalu ribet kita yg di lapang banyak di tanyain ko belum muncul etiket ke 3,ga bisa input data 2 sama 3"
pupu_astia,Cuma ganti nama tapi sinkronisasinya malah tambah kacau
nur_mukholis97,Aplikasi SATUSEHAT Enggak bisa di buka malah data nya hilang semua 🤦🤦🤦
pc_clavier,"Stuck d loading gambar satu sehat dah 5 hari,dah clear cache,setting notif,uninstal instal lg ttp aj zonk....gmn ni? Malah d hp kentang j2 prime bs kbuka,ni d samsung a11 ga bs"
franchia_arzhevaty,"DENGAN INI SAYA PERWAKILAN MENGETIK ..DARI JUTAAN KOMPLAIN WARGA INDONESIA SERENTAK ...TIDAK DI IG,SOSMED LAIN DAN KELUHAN YG SAMA......INI BANYAK MAU MUDIK🚞✈️.. PERSYARATAN PERJALANAN GIMANA DONKKKK.  PERCEPAT LAH.. APALGI KENDALA A-Z ... MENDESAK PULA ... NANTI GILIRAN MAINTENANCE LANCAR MBLUDAK GITU LAGI... SEMUA MENUNGGU TITIK TERANG TIKET VAKSIN DAN SERTIFIKATNYA..SEGERA DI PERMUDAH... KALO KOMPLAIN WA PRCUMA  JUGA HASILNY 0 MUTER"" DAN JAWAB SISTEM = (MAAF SAAT KAMI TIDAK MELAYANI AIUEO...). MAU SAMPEK KAPAN TO MIMIN SAYANNNKKKKKKKKK😢😢"
moesje_craftique,"PL di hp sudah ganti jadi satu sehat, tapi freeze di home page. Udah uninstall reinstall dll, tetap nggak bisa. Mau booster 2 nggak ingat booster 1nya pakai apa, nggak bisa ngecek. Mau travelling nanti malah nggak bisa nunjukin apa². IG @pedulilindungi.id malah ditutup komennya 🤦‍♀️. Banyak baca di mana², wa pun nggak ada yang jawab. Saya sudah lewat twitter juga nggak ada yang jawab."
novawardany,"Halo min @pedulilindungi.id kenapa setelah update ke satu sehat, tiket vaksin booster tidak muncul? Tolong di respon yah. Soalnya saya WA dan email tdk ada respon, jadi harus kemana kalau mau cari solusinya yah"
novawardany,"Halo min @pedulilindungi.id kenapa setelah update ke satu sehat, tiket vaksin booster tidak muncul? Tolong di respon yah. Soalnya saya WA dan email tdk ada respon, jadi harus kemana kalau mau cari solusinya yah"
neniy_lv,Ini kenapa sama sekali wa dan email kemenkes tidak bisa ya ? Malah mempersulit bukan mempermudah begini
fatir348,Punyaku tiba2 gk bisa ke buka malah d suruh daftar ulang...setelah daftar gk bisa2 aneh bngett
rizki_irawan27,"Klo nomor beserta email yang terdaftar di aplikasi Peduli lindungi Hilang gimana solusinya,,Soalnya kemarin habis kena musibah Ilang Hp Beserta email nya,Saya mau login apk Satu Sehat ga bisa karna harus menggunakan nomor dan email yang lama, sedang kan Nomor Hp beserta email nya Hilang,Apakah Ada Solusi lain agar mempermudah login  masuk apk Satu Sehat. Saya sangat Kecewa terhadap perubahan Ini sebab  Saya masuk kerja di pabrik di haruskan memakai apk peduli lindungi untuk scan barcode, Tolong agar di respon Keluhan kami🙏🙏"
inggit_safira,Kenapa stuck di logo gak bisa dibuka
fiyaa395,APLIKASI NE GAK ISOK DIBUKA WOIII😡😡
randie_real,Ngstuck disitu aja min
muhammad_d_saputro,"hallo kak @, untuk versi 5.2.1 belum ada di"
gowok16,Apk jadi parah Sertifikat vaksin boster tidak ada padahal sudah vaksin solusinya gmna min
windap08,Tiket booster sy belum ada. Sy udh pengaduan help desk cuma dpt no tiket pengaduan. Ga direspon2 .. ini bagaimana. Sy perlu untuk✈
muhammadrasidi___,Invalid terus
jingledumpie,"APK LU BAPUK, CS LU JUGAAA"
tiwi_luna,Aku pake sertifikat yang lama aja deh. Sama2 diakui kan ☺
asybloem,"Admin maaf tolong tanggapannya ya, saya tidak bisa masuk akun terkendala di bagian verifikasi kode karna tidak ada SMS yang masuk ke nomor nya @pedulilindungi.id saya juga udah coba lewat email dan wa namun gak ada jawaban"
warjadii_bae,kendala nya no hilang sedangkan saya sudah vaksin boster sama vaksin 1 ke 2 gman klo mw mudik lebaran semenjak pergantian aplikasi ke pedulilindungi semua data nya hilang tolong di perbaiki lg satu sehat biar bisa kya pedulilindugi
julyanggraini1407,sudah vaksin booster 1 dari januari tapi sampai skarang gak ada juga certificate nya trus disuruh suntik lagi ditempat lain gitu juga gak bisa kluar sertifikatnya.ini gimana ya jafinya? kok jadi dipersulit sih...org mau kmana mana juga jadi susah.masa harus antigen2 trus sih kalau mau kmana mana pakai pesawat dll.saya sudah call 119 tapi tidak ada titik terang juga
pupu_astia,"Ribet hari ini hari orang2 nanyain sertifikat belum keluar,aku suruh aja tanya kemenkes,saya cuma jalanin tugas aja"
franklinfrederik,"NIK sy digunakan orang lain, sehingga Aplikasi Satu Sehat sy yg didaftar pake No Hp sy dan NIK menyimpan data Vaksin orang lain, merugikan sy sebagai warga negara indonesia, tidak bisa klaim sertifikat, tidak bisa berpergian, klaim lebih dari 3 bulan via kontak@kemkes.go.id dan Helpdesk@go.id, mohon ditanggapi keluhan ini. Cc @kemenkes_ri, @satusehat_id dan @satgascovid19.id covid"
adimas_sajue,"Tolong yaa tolong, untuk mengenai data jngn sampe salah dengan KTP satu huruf pun harus teliti, ujung2nya masyarakat yg jadi susah gara2 disertifikat vaksin nama tidak sesuai dengan KTP"
fathurfauzy,"Maaf min @kemenkes_ri mau nanya nih kita dibagian pelayan yg terkena dampak perubahan aplikasi peduli lindungi ke satusehat, banyak warga yg mengeluh, dan kita pun kesusahan untuk mengentry data vaksin, apakah aplikasi ini sudah bridging dgn @bpjskesehatan_ri karna kita input melalu BPJS, tpi di aplikasi BPJS masih bridging dgn Peduli Lindungi, mohon tanggapannya"
akun_keduaa.82,"Min saya sudah  berkali kali menanyakan apakah vaksin boster dosis ke 4 dosis Inavac masih belum bisa muncul sertifikatnya, bagaimana solusinya .. Mohon di atasi min 🙌"
ahmadsyahril_as,"@satusehat_id min tolong dong min bantu saya, saya udah vaksin tapi nik udh digunkan orng lain ngelapor dari wa ga dapat respon semoga disini di respon"
anotherpeoplewleee,cek dm min
qmonk16029,Cek DM min
muhepizz,"Hallo..sertifikat vaksin anak saya gak muncul di satu sehat..padahal di peduli lindungi ada ..complain ke wa,email dan call center belum solve..dan berlarut2..mohon solusi..@kemenkes_ri"
renirifqi1,"Ka saya udah vaksin ke 2  tp udah 3 bulan ko belum muncul anda berhak vaksin booster ya ka??? Mohon info,a"
abcdefgheka,Respon wa lama bgt
galeritmr,halo tolong bales dm saya
annisa_nkh2,Min kok satu sehat saya ga bisa daftar atau masuk yaa. Padahal lg butuh buat download sertifikat vaksin. Tolong di balas min
maruef_04,Aplikasi kagak jelasss
mizzbondol,"Dear Mimin, mau tanya maaf. Yang lalu saat di PeduliLindungi satu akun bisa untuk menampilkan beberapa nama (punya saya dan anak saya). Tapi saat saya download Satu Sehat hanya nama anak saya yg terlihat, sementara saya punya hanya di bagian tetaut tapi gak bisa cek vaksin dll. Mohon dibantu jelaskan apakah saya harus bikin akun lagi di HP lain atau gimana? Krn HP hanya 1, terima kasih."
jimmi_pudo,Sudah 2 bulan yg lalu saya vaksin booster ke 2 (vaksin ke 4). Tapi sampai saat ini sertifikatnya gak muncul.
elhaka75,"NIK saya malah berubah jadi milik ibu saya, udah lapor email helpdesk@kemkes.go.id ngga direspon tiba-tiba tiket ditutup krn selesai, telp 1500720 ngga bisa, coba wa ke 0811 1050 0567 yg jawab robot dan ngga ada solusi. Gimana nih kacau gini"
sonardailywear,Min itu gmn ya di aplikasi cuma muncul vaksin 1 doang padahal aku udah vaksin sampai yg ketiga. Ditungguin ga muncul2 sisanya masa saya harus vaksin ulang semua. Solusinya manaaa
tutialw,"Tolonggg dooonnng benerinapk satu sehat, udh booster 1 tapi belum update di apk nya, mana mau perjalanan naik kereta lagi😢😢😢😢"
key_store279,Min kalau nama yg di tertulis di aplikasi satu sehat tidak sesuai dgn nama di KTP hubungi kemana ya untuk perubahannya. Karena saya coba hubungi email dan whatsapp di atas tidak ada respon.
key_store279,"Min kalau nama di sertifikat vaksin app satu sehat tidak sesuai, hubungi ke mana ya untuk perubahannya, soalnya saya hubungi via email dan  whatsapp di atas tidak ada respon.."
arifwicaksonoid,Halo min kok belum ada respon ya di DIRECT MASSAGE?
wardifhanabil,Kok server number nya gk bisa di hubungin si? Lagi tidur apa yak?
pungkyrima,"Setelah ganti ini. Profil Saya beda bukan NIK saya, sdh wa dan email help desk tetapi blm juga Ada penyelesaian malah statusnya help desk bilang  solved  padahal profil Saya blm bisa di ganti dengan NIK yg betul seperti pada data peduli lindungi."
rushumarella8,GMN SIIIIIIIIII CALL CENTER SEMUA GABISA DI AKSES
yosirahmamaharani_,"Padahal saya sudah vaksin ke3 (booster) tapi ko di aplikasi satu sehat masih berwarna merah ya…dan saya chat di wa pun tidak pernah ada balasan sama sekali!!!tolong di perhatikan lagi ya layanannya,jangan hanya makan gaji buta doang☺️🙏🏻"
ridho_putranto,Banyak kendala di aplikasi satu sehat yaitu sertifikat vaksin ke 2 atau ke tiga tidak muncul di halpdesk kemenkes tidak ada tindak lanjutanya
xanoaviary,"Pelayanan lamban,apk punya saya sudah 3 bulan GK bisa di akses, sudah komplain via wa berkali kali GK ada perubahan,di suruh nunggu dalam antrean ,woooiii 3 bulan woi kerja GK becus!!"
xanoaviary,Kerja GK becus!!
ns.argan,"Dilapangan Satu Sehat banyak kendala nya. Blm mature dan proses perbaikan tidak cepat, sedangkan peraturan administratif misalnya perjalanan atau masuk ke satu tempat tidak berubah. Ini ada gap. Kendala bukan ada di pihak user melainkan di sistem milik pusat (Satu Sehat). Ini harus dijembatani, karena dampaknya terasa oleh user yg merasa 'dirugikan' *padahal sudah menuntaskan kewajiban vaksin covid. Buatlah edaran atau semacamnya ditujukan ke semuaa stakeholder bahwa jika ada kendala sistem tapi user sudah vaksin sebagaimana mestinya, harus dimudahkan urusannya. Karena sekarang sangat banyak yg tidak mulus di sistem nya. Sistem: sistem Pcare & aplikasi Satu Sehat user"
shofawj,"Ini helpdesknya gimana sih? Contact wa gak bisa, di email malah tiket solved padahal belum ada solusinya -_- saya mau input sertif booster dari luar negeri di app gabisa -_-"
angellina.put,"Bapak ibu admin, gimana ya sertifikat udah seminggu ngga muncul2 di aplikasi. Gimana solusinya? 1500720 ngga bisa nyambung terus, whatsapp yang bales cuma bot. Aduh kacauuuu"
